text,date,char,sentiment,polarity,subjectivity,timestamp,Preprocess
"Aaaand this is why the internet was invented

https://t.co/P5NiyEoFND via @LaughingSquid",05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 23:59:50,aaaand this is why the internet wa invented http co p5niyeofnd via laughingsquid
@CatLantana Joffrey and Ramsay the worst!!!! My favorite character is The Hound. Every episode I worry it might be his last.,05/11/2019,Sandor Clegane,Neg,-0.16666666666666666,0.688888888888889,05/11/2019 23:59:13,catlantana joffrey and ramsay the worst my favorite character is the hound every episode worry it might be his last
"Do people think Sansa is a Pimp now? She didn’t own the 2 girls that went home with Tormund and The Hound. 

“She i… https://t.co/5frFinD4Af",05/11/2019,Sandor Clegane,Pos,0.6,1.0,05/11/2019 23:58:50,do people think sansa is pimp now she didn own the 2 girl that went home with tormund and the hound she http co 5frfind4af
Giving way to Kingslayer/Arya/Clegane to get into Red Keep and doom it like Mount doom!,05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 23:57:33,giving way to kingslayer arya clegane to get into red keep and doom it like mount doom
"RT @DevillineS: https://t.co/w0P7AjIvUG
When I'm not writing I'm reading voraciously.  Check out my latest blog about my favorite character…",05/11/2019,Sandor Clegane,Pos,0.5,0.95,05/11/2019 23:57:08,rt devillines http co w0p7ajivug when m not writing m reading voraciously check out my latest blog about my favorite character
"I don’t care who sits on the iron throne. If the Hound doesn’t fight his zombie brother, Mountain, to the death...t… https://t.co/FaCEM4DBr2",05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 23:57:04,i don care who sits on the iron throne if the hound doesn fight his zombie brother mountain to the death http co facem4dbr2
"https://t.co/w0P7AjIvUG
When I'm not writing I'm reading voraciously.  Check out my latest blog about my favorite c… https://t.co/IyLDWW2bB6",05/11/2019,Sandor Clegane,Pos,0.5,0.95,05/11/2019 23:55:36,http co w0p7ajivug when m not writing m reading voraciously check out my latest blog about my favorite http co iyldww2bb6
-as the flash back vanishes cerberus would of be seen in a rare sight on his knees as he knew there where victory b… https://t.co/FIFmk7q2Du,05/11/2019,Sandor Clegane,Pos,0.15,0.45,05/11/2019 23:55:23,a the flash back vanishes cerberus would of be seen in rare sight on his knee a he knew there where victory http co fifmk7q2du
"RT @Maisie_Williams: joffrey 
cersei 
liam payne 
the hound",05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 23:50:54,rt maisie_williams joffrey cersei liam payne the hound
I legitimately laughed out loud. #gameofthrones https://t.co/WHWkBlssZv,05/11/2019,Sandor Clegane,Pos,0.39999999999999997,0.5,05/11/2019 23:50:34,i legitimately laughed out loud gameofthrones http co whwkblsszv
the hound guy and arya are so funny,05/11/2019,Sandor Clegane,Pos,0.25,1.0,05/11/2019 23:45:12,the hound guy and arya are so funny
RT @NicoleMae11: I hope literally everybody dies on Game of Thrones except Tormund and the Hound and they end the show with them wandering…,05/11/2019,Sandor Clegane,Neg,-0.4,0.4,05/11/2019 23:43:43,rt nicolemae11 hope literally everybody dy on game of throne except tormund and the hound and they end the show with them wandering
Who do you think will win 'Clegane Bowl' #GameofThrones #SandorClegane #GregorClegane,05/11/2019,Sandor Clegane,Pos,0.8,0.4,05/11/2019 23:43:29,who do you think will win clegane bowl gameofthrones sandorclegane gregorclegane
Gregor Clegane/The Mountain is the GoT Alphonse Elric (moreso the prisoners who've had their souls bound to armor),05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 23:41:43,gregor clegane the mountain is the got alphonse elric moreso the prisoner who ve had their soul bound to armor
I was cursed by the hound when the lights went out😂 https://t.co/HM0UZ8scF1,05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 23:41:40,i wa cursed by the hound when the light went out http co hm0uz8scf1
"RT @thronesfacts: #Arya and #TheHound 

S3 E8 ➡️ S8 E4 https://t.co/WKU7pkLRw2",05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 23:40:46,rt thronesfacts arya and thehound s3 e8 s8 e4 http co wku7pklrw2
@JKBogenDTR The Hound https://t.co/SuKjryJKKe,05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 23:38:28,jkbogendtr the hound http co sukjryjkke
The Hound isn’t dead https://t.co/AyRudvIM0d,05/11/2019,Sandor Clegane,Neg,-0.2,0.4,05/11/2019 23:36:35,the hound isn dead http co ayrudvim0d
Is the fact that I'm attracted to the Hound concerning to just me or,05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 23:31:19,is the fact that m attracted to the hound concerning to just me or
I can't believe Gregor Clegane poisons Petyr Baelish. 💀,05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 23:31:12,i can believe gregor clegane poison petyr baelish
Just realised that The Hound in GoT is in Hot Fuzz and I’m🤯,05/11/2019,Sandor Clegane,Pos,0.25,0.8500000000000001,05/11/2019 23:31:05,just realised that the hound in got is in hot fuzz and m
@eojala @_ana_c The Hound always and forever,05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 23:28:04,eojala _ana_c the hound always and forever
@sybilverity I have done nothing. Neither has the hound. Apart from be annoying,05/11/2019,Sandor Clegane,Neg,-0.8,0.9,05/11/2019 23:27:27,sybilverity have done nothing neither ha the hound apart from be annoying
Just an important non sequitur reminder that the Hound is the Yarp guy in Hot Fuzz.,05/11/2019,Sandor Clegane,Pos,0.325,0.925,05/11/2019 23:26:58,just an important non sequitur reminder that the hound is the yarp guy in hot fuzz
"@Wizards_DnD Kharnax (Red Dragonborn Paladin) 

A mix between Sandor Clegane, Frank Castle &amp; Conan The Cimmerian",05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 23:26:22,wizards_dnd kharnax red dragonborn paladin mix between sandor clegane frank castle amp conan the cimmerian
Arya and the Hound traveling together is such an interesting combination. They have such a hate/respect relationshi… https://t.co/rNoHGnxJhN,05/11/2019,Sandor Clegane,Pos,0.16666666666666666,0.5,05/11/2019 23:25:42,arya and the hound traveling together is such an interesting combination they have such hate respect relationshi http co rnohgnxjhn
"Ok its imperative that I say this... game of thrones, Jaime beats arya &amp; the hound to kings landing, arya kills jai… https://t.co/OqgXiPKYJL",05/11/2019,Sandor Clegane,Pos,0.04999999999999999,0.45,05/11/2019 23:23:04,ok it imperative that say this game of throne jaime beat arya amp the hound to king landing arya kill jai http co oqgxipkyjl
"The Mountain VS The Hound is all that matters in GoT. Besides, Jorah's ded.",05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 23:23:01,the mountain v the hound is all that matter in got besides jorah ded
@WhatsOnDraftNFL @JKBogenDTR It's between Tyrion and The Hound for me,05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 23:22:36,whatsondraftnfl jkbogendtr it between tyrion and the hound for me
@XKineticX Shes gonna burn Kings Landing to the ground. Cersei and The Mountain will escape and run into Arya and T… https://t.co/WiQxhvHQL5,05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 23:22:28,xkineticx shes gonna burn king landing to the ground cersei and the mountain will escape and run into arya and http co wiqxhvhql5
when d&amp;d put some sad music on after the hound bites it https://t.co/Zqnmv9K1Gc,05/11/2019,Sandor Clegane,Neg,-0.5,1.0,05/11/2019 23:21:23,when amp put some sad music on after the hound bite it http co zqnmv9k1gc
@VictoriaLoder_ The hound smiled as he watched the life drain from the fox's face. https://t.co/nUmrAStVpp,05/11/2019,Sandor Clegane,Pos,0.6,0.2,05/11/2019 23:19:16,victorialoder_ the hound smiled a he watched the life drain from the fox face http co numrastvpp
"RT @GamdomOfficial: AK-47 | Fire Serpent (FT) Giveaway 🐍

To enter:
- RT &amp; Like
- Follow us
- Tag one friend

Ends in 48 hours.
Best of luc…",05/11/2019,Sandor Clegane,Pos,1.0,0.3,05/11/2019 23:18:47,rt gamdomofficial ak 47 fire serpent ft giveaway to enter rt amp like follow u tag one friend end in 48 hour best of luc
"Why you gotta quote Disney's ""The Fox &amp; the Hound"" (1981)? That makes it even more heartbreaking! 😭 #StarWars… https://t.co/XgA4wojCPB",05/11/2019,Sandor Clegane,Pos,0.625,0.5,05/11/2019 23:17:46,why you gotta quote disney the fox amp the hound 1981 that make it even more heartbreaking starwars http co xga4wojcpb
@john_boyne The hound of the Baskervilles is ... a chihuahua?,05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 23:15:09,john_boyne the hound of the baskervilles is chihuahua
omfg arya killed a man and the hound killed the rest and he was So Proud of arya but scolded her cause he was worri… https://t.co/FCo65nUHMt,05/11/2019,Sandor Clegane,Pos,0.13333333333333333,0.3333333333333333,05/11/2019 23:14:22,omfg arya killed man and the hound killed the rest and he wa so proud of arya but scolded her cause he wa worri http co fco65nuhmt
RT @richjmadrid: Naming my kid The Hound,05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 23:14:10,rt richjmadrid naming my kid the hound
@shandershow The mountain and the hound die simultaneously.,05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 23:09:56,shandershow the mountain and the hound die simultaneously
@AzizLannister i kissed the hound because i want him so badly,05/11/2019,Sandor Clegane,Neg,-0.6999999999999998,0.6666666666666666,05/11/2019 23:09:37,azizlannister kissed the hound because want him so badly
"@_ana_c @jadeisthename Would you rather your nickname be ""The Mountain"" or ""The Hound""?",05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 23:07:48,_ana_c jadeisthename would you rather your nickname be the mountain or the hound
@theraveneffect Omg Scotty i fucking hope you are right!... i love the hound.. and i love Raven... EC fking W 👊💙,05/11/2019,Sandor Clegane,Pos,0.18928571428571428,0.6339285714285715,05/11/2019 23:07:23,theraveneffect omg scotty fucking hope you are right love the hound and love raven ec fking
"People getting upset over Sansa glorifying the abuse she went through, that scene in Season 8 Ep 4 wasn’t about tha… https://t.co/RKLzfXoKKq",05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 23:04:56,people getting upset over sansa glorifying the abuse she went through that scene in season 8 ep 4 wasn about tha http co rklzfxokkq
RT @bradyctomlinson: real life fox and the hound https://t.co/cXidBA92Vo,05/11/2019,Sandor Clegane,Pos,0.2,0.30000000000000004,05/11/2019 23:04:46,rt bradyctomlinson real life fox and the hound http co cxidba92vo
We might be 24 hours away from the Clegane bowl,05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 23:04:27,we might be 24 hour away from the clegane bowl
@Independent_ie I now baptize you The Hound Bourke @AltoirClaire,05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 23:04:26,independent_ie now baptize you the hound bourke altoirclaire
Sitting at the fox and the hound and I played copperhead road and Sittin at a bar and the people have lost their mi… https://t.co/SfajtnP6C1,05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 23:02:58,sitting at the fox and the hound and played copperhead road and sittin at bar and the people have lost their mi http co sfajtnp6c1
If the hound kills the mountain and Jaime kills Cersei it’ll be worth it,05/11/2019,Sandor Clegane,Pos,0.3,0.1,05/11/2019 23:02:52,if the hound kill the mountain and jaime kill cersei it ll be worth it
"@MoonOverlord but when there wasn’t a large pullback, that was a huge buy signal (the hound of Baskerville I believe)",05/11/2019,Sandor Clegane,Pos,0.30714285714285716,0.6642857142857143,05/11/2019 23:01:46,moonoverlord but when there wasn a large pullback that wa huge buy signal the hound of baskerville believe
Listening to classic / greatest hits Disney songs is a rollercoaster between hype positive energy and soul-crushing… https://t.co/W123oBNTZi,05/11/2019,Sandor Clegane,Pos,0.4646464646464647,0.5707070707070707,05/11/2019 23:01:33,listening to classic greatest hit disney song is rollercoaster between hype positive energy and soul crushing http co w123obntzi
RT @kimrrenfro: What is hype may never die #Clegane #bowl https://t.co/Mgb9bknwcB,05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 23:01:17,rt kimrrenfro what is hype may never die clegane bowl http co mgb9bknwcb
"@jerboyk @Shaquemgriffin @ShaquillG @emiliaclarke HAIL “Game of Thrones” Dragon Queen, not so much. The HOUND, yes!!! 🤣🤣",05/11/2019,Sandor Clegane,Neg,-0.004687500000000011,0.30000000000000004,05/11/2019 22:59:01,jerboyk shaquemgriffin shaquillg emiliaclarke hail game of throne dragon queen not so much the hound yes
Dragged the hound ‘round Melwood tonight so many times. Praying for a miracle tomorrow: is there one final twist? C… https://t.co/IWoHnSN04S,05/11/2019,Sandor Clegane,Pos,0.09999999999999999,0.6333333333333333,05/11/2019 22:54:55,dragged the hound round melwood tonight so many time praying for miracle tomorrow is there one final twist http co iwohnsn04s
RT @Nazohl: Arya and the Hound showing up at Cersei's door next episode #DemThrones https://t.co/8kAvrpQP2p,05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 22:54:26,rt nazohl arya and the hound showing up at cersei door next episode demthrones http co 8kavrpqp2p
"@HarkerRyan_ Greyworm
The mountain
The Hound",05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 22:49:26,harkerryan_ greyworm the mountain the hound
"@KASonaBike @AngrierWHStaff @stlredbirds85 Close. I think Arya kills Cersei wearing Qyburn's face, then avenges The… https://t.co/Jlo38ts3nF",05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 22:49:12,kasonabike angrierwhstaff stlredbirds85 close think arya kill cersei wearing qyburn face then avenges the http co jlo38ts3nf
I hope literally everybody dies on Game of Thrones except Tormund and the Hound and they end the show with them wan… https://t.co/ENHB0DwlBU,05/11/2019,Sandor Clegane,Neg,-0.4,0.4,05/11/2019 22:48:18,i hope literally everybody dy on game of throne except tormund and the hound and they end the show with them wan http co enhb0dwlbu
RT @LadyOfTheRock1: Clegane bowl get hype!,05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 22:48:18,rt ladyoftherock1 clegane bowl get hype
@KC_Goddess29 Yeah that's my guess too. Maybe some lead up to it this week but the final showdown comes in the fina… https://t.co/kPsv2ne8oG,05/11/2019,Sandor Clegane,Neu,0.0,1.0,05/11/2019 22:47:52,kc_goddess29 yeah that my guess too maybe some lead up to it this week but the final showdown come in the fina http co kpsv2ne8og
"RT @thronesfacts: #Arya and #TheHound 

S3 E8 ➡️ S8 E4 https://t.co/WKU7pkLRw2",05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 22:47:15,rt thronesfacts arya and thehound s3 e8 s8 e4 http co wku7pklrw2
clegane has said more fuck offs in got series than i have said since i was born,05/11/2019,Sandor Clegane,Pos,0.04999999999999999,0.55,05/11/2019 22:45:36,clegane ha said more fuck offs in got series than have said since wa born
@KC_Goddess29 Clegane bowl this week or season finale?,05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 22:45:35,kc_goddess29 clegane bowl this week or season finale
"Every person needs a Sandor Clegane in their life...no bs, just blunt honesty. https://t.co/aNAMj7vQmm",05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 22:44:01,every person need sandor clegane in their life no b just blunt honesty http co anamj7vqmm
RT @GeekVibesNation: It's the Hound and Arya Show in Imagined Sitcom Spinoff Trailer https://t.co/tGFhpuabwE #TheHound #Arya https://t.co/b…,05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 22:43:44,rt geekvibesnation it the hound and arya show in imagined sitcom spinoff trailer http co tgfhpuabwe thehound arya http co
seriously i hope that clegane will finally kill his brother next episode so my man oberyn will finally get his revenge,05/11/2019,Sandor Clegane,Neg,-0.08333333333333333,0.6666666666666666,05/11/2019 22:38:39,seriously hope that clegane will finally kill his brother next episode so my man oberyn will finally get his revenge
@WWERollins Worm going to kill the mountain.. even before the hound has his chance..😜,05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 22:38:38,wwerollins worm going to kill the mountain even before the hound ha his chance
@BasedKirby Arya did take off to kings landing with the hound before dany left!,05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 22:38:17,basedkirby arya did take off to king landing with the hound before dany left
RT @houndhuntersGG: Please welcome back to the hound @meerkat371 and @VittitoeIsaiah #BeTheRoar https://t.co/AOrUwLVYUq,05/11/2019,Sandor Clegane,Pos,0.4,0.45,05/11/2019 22:38:08,rt houndhuntersgg please welcome back to the hound meerkat371 and vittitoeisaiah betheroar http co aoruwlvyuq
the hound doesnt even care about fire when he has to protect arya hes so ;;; precious ;;; #dameofgnomes,05/11/2019,Sandor Clegane,Pos,0.5,1.0,05/11/2019 22:38:05,the hound doesnt even care about fire when he ha to protect arya he so precious dameofgnomes
"RT @ThatShaniaTween: @Vdinc1 @DSilvermint Also at this point in the books Jon is still dead.
So is the Hound.
And Ser Gregor.
But Stannis i…",05/11/2019,Sandor Clegane,Neg,-0.2,0.4,05/11/2019 22:37:04,rt thatshaniatween vdinc1 dsilvermint also at this point in the book jon is still dead so is the hound and ser gregor but stannis
RT @houndhuntersGG: Please welcome back to the hound @meerkat371 and @VittitoeIsaiah #BeTheRoar https://t.co/AOrUwLVYUq,05/11/2019,Sandor Clegane,Pos,0.4,0.45,05/11/2019 22:36:33,rt houndhuntersgg please welcome back to the hound meerkat371 and vittitoeisaiah betheroar http co aoruwlvyuq
RT @kimrrenfro: What is hype may never die #Clegane #bowl https://t.co/Mgb9bknwcB,05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 22:36:17,rt kimrrenfro what is hype may never die clegane bowl http co mgb9bknwcb
Please welcome back to the hound @meerkat371 and @VittitoeIsaiah #BeTheRoar https://t.co/AOrUwLVYUq,05/11/2019,Sandor Clegane,Pos,0.4,0.45,05/11/2019 22:36:14,please welcome back to the hound meerkat371 and vittitoeisaiah betheroar http co aoruwlvyuq
"Game Of Thrones - The Hound, Beric and Thoros. 
https://t.co/fpggcnctCD",05/11/2019,Sandor Clegane,Neg,-0.4,0.4,05/11/2019 22:33:07,game of throne the hound beric and thoros http co fpggcnctcd
"8-1 on The field: Cersei, Jon, Sansa, Jaime, Tyrion, The Hound, The Mountain, Davos, Gendry, Harry Strickland. The… https://t.co/TMhlkvBGeU",05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 22:32:36,8 1 on the field cersei jon sansa jaime tyrion the hound the mountain davos gendry harry strickland the http co tmhlkvbgeu
@randommusings89 This is one of the best scenes....the Hound gets revenge on some bad guys.. https://t.co/2VFOP6yEoD,05/11/2019,Sandor Clegane,Pos,0.15000000000000008,0.4833333333333333,05/11/2019 22:28:50,randommusings89 this is one of the best scene the hound get revenge on some bad guy http co 2vfop6yeod
@TashHawk20 Last film I cried to when I was sober was fox and the hound when I was 7 did share a tear for Marley an… https://t.co/ffN7hFdH4R,05/11/2019,Sandor Clegane,Pos,0.05,0.13333333333333333,05/11/2019 22:28:12,tashhawk20 last film cried to when wa sober wa fox and the hound when wa 7 did share tear for marley an http co ffn7hfdh4r
"RT @Beforeyoulogoff: Check out our unplanned tangent about @GameOfThrones
#GameofThrones #Missandei #Greyworm #Varys #BrienneOfTarth #TheHo…",05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 22:26:13,rt beforeyoulogoff check out our unplanned tangent about gameofthrones gameofthrones missandei greyworm varys brienneoftarth theho
@randommusings89 My favorite character is this big thug called the Hound...”Only cunts name their swords!”  He says ⚔️ 🐺   🤣🤣,05/11/2019,Sandor Clegane,Pos,0.16666666666666666,0.7000000000000001,05/11/2019 22:25:34,randommusings89 my favorite character is this big thug called the hound only cunt name their sword he say
Watch this Brilliant fan-made trailer for the 'Game of Thrones' spin-off we all want https://t.co/jhGikhkDFO https://t.co/895akz1BLd,05/11/2019,Sandor Clegane,Pos,0.25,0.7,05/11/2019 22:23:34,watch this brilliant fan made trailer for the game of throne spin off we all want http co jhgikhkdfo http co 895akz1bld
It's the Hound and Arya Show in Imagined Sitcom Spinoff Trailer https://t.co/tGFhpuabwE #TheHound #Arya https://t.co/bRsXgzu9vy,05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 22:23:01,it the hound and arya show in imagined sitcom spinoff trailer http co tgfhpuabwe thehound arya http co brsxgzu9vy
"RT @NeightAnimate: The fox and the hunt! Tod (from Disney's The Fox and The Hound) practices his hunting skills.

Here's my exercise from a…",05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 22:22:02,rt neightanimate the fox and the hunt tod from disney the fox and the hound practice his hunting skill here my exercise from
"@NDickerson15 The hound wounds the mountain but dies, greyworm kills him, Arya kills euron and jaime kills his sister. Lol who you got",05/11/2019,Sandor Clegane,Pos,0.8,0.7,05/11/2019 22:21:02,ndickerson15 the hound wound the mountain but dy greyworm kill him arya kill euron and jaime kill his sister lol who you got
"Beyond The Picture - Fox and the Hound

Tune in: https://t.co/aljzDeTpMq https://t.co/gBDLl1sBA7",05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 22:20:36,beyond the picture fox and the hound tune in http co aljzdetpmq http co gbdll1sba7
"RT @bestofmaisie: ⋮ SPOILER ALERT ⋮  

maisie williams as arya stark and rory mccan as the hound in 8.04 of game of thrones https://t.co/UG…",05/11/2019,Sandor Clegane,Neg,-0.30000000000000004,0.5,05/11/2019 22:16:02,rt bestofmaisie spoiler alert maisie williams a arya stark and rory mccan a the hound in 8 04 of game of throne http co ug
RT @kenza_lg: Arya and The Hound when they arrive to Kingslanding to kill Cersei and the Mountain  #GameofThrones https://t.co/V4y9XpAZ3b,05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 22:15:19,rt kenza_lg arya and the hound when they arrive to kingslanding to kill cersei and the mountain gameofthrones http co v4y9xpaz3b
They've left themselves with very little space to maneuver. Arya &amp; The Hound are obviously going to kill the Mounta… https://t.co/0KHRBlEvUA,05/11/2019,Sandor Clegane,Neg,-0.08125,0.3833333333333333,05/11/2019 22:14:18,they ve left themselves with very little space to maneuver arya amp the hound are obviously going to kill the mounta http co 0khrblevua
RT @kimrrenfro: What is hype may never die #Clegane #bowl https://t.co/Mgb9bknwcB,05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 22:12:50,rt kimrrenfro what is hype may never die clegane bowl http co mgb9bknwcb
"@JaclynAnnelise I like the hound and I’m mad I don’t know his fate yet, I liked Ser Barristan but that didn’t work… https://t.co/DPvpcZExJB",05/11/2019,Sandor Clegane,Neg,-0.012500000000000011,0.9,05/11/2019 22:11:11,jaclynannelise like the hound and m mad don know his fate yet liked ser barristan but that didn work http co dpvpczexjb
RT @kenza_lg: Arya and The Hound when they arrive to Kingslanding to kill Cersei and the Mountain  #GameofThrones https://t.co/V4y9XpAZ3b,05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 22:10:43,rt kenza_lg arya and the hound when they arrive to kingslanding to kill cersei and the mountain gameofthrones http co v4y9xpaz3b
"RT @Beforeyoulogoff: Check out our unplanned tangent about @GameOfThrones
#GameofThrones #Missandei #Greyworm #Varys #BrienneOfTarth #TheHo…",05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 22:09:22,rt beforeyoulogoff check out our unplanned tangent about gameofthrones gameofthrones missandei greyworm varys brienneoftarth theho
"RT @Beforeyoulogoff: Check out our unplanned tangent about @GameOfThrones
#GameofThrones #Missandei #Greyworm #Varys #BrienneOfTarth #TheHo…",05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 22:09:03,rt beforeyoulogoff check out our unplanned tangent about gameofthrones gameofthrones missandei greyworm varys brienneoftarth theho
"RT @carolinelbi: Dudes, #TheHound has the best lines in all of #GameOfThrones 🙌 https://t.co/86ckzRCVpH",05/11/2019,Sandor Clegane,Pos,1.0,0.3,05/11/2019 22:09:02,rt carolinelbi dude thehound ha the best line in all of gameofthrones http co 86ckzrcvph
"Check out our unplanned tangent about @GameOfThrones
#GameofThrones #Missandei #Greyworm #Varys #BrienneOfTarth… https://t.co/CGCvotImmv",05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 22:08:40,check out our unplanned tangent about gameofthrones gameofthrones missandei greyworm varys brienneoftarth http co cgcvotimmv
"@kay_deniseee Oh wow. Yea it developed a lot in the past 5. Have you been to ""the Hound""? I left there a couple years ago tho. Lol",05/11/2019,Sandor Clegane,Pos,0.15,0.45,05/11/2019 22:07:21,kay_deniseee oh wow yea it developed lot in the past 5 have you been to the hound left there couple year ago tho lol
@Cane_335 I wouldn’t take him over Brienne. She’s too raw. I think it’s a toss up between Ned and the Hound.,05/11/2019,Sandor Clegane,Neg,-0.23076923076923078,0.46153846153846156,05/11/2019 22:04:31,cane_335 wouldn take him over brienne she too raw think it a toss up between ned and the hound
"Well, you know I even outran the hound dogs Honey, you know I've earned your love.",05/11/2019,Sandor Clegane,Pos,0.5,0.6,05/11/2019 22:03:47,well you know even outran the hound dog honey you know ve earned your love
"GOT prediction: Dany to go full on Mad Queen and total Kings Landing, Varys, Tyrion, Jamie and Cersai will die, Jon… https://t.co/pfurefnk6h",05/11/2019,Sandor Clegane,Neg,-0.09166666666666667,0.7666666666666666,05/11/2019 22:02:08,got prediction dany to go full on mad queen and total king landing varys tyrion jamie and cersai will die jon http co pfurefnk6h
@KyleeAWofford Makes me skeptical of his relationship with The Hound,05/11/2019,Sandor Clegane,Neg,-0.5,0.5,05/11/2019 22:01:42,kyleeawofford make me skeptical of his relationship with the hound
@voxdotcom I think she's going to come flying down on her remaining dragon to scorch Cersei Lannister's butt and th… https://t.co/zK5Eb9sF0z,05/11/2019,Sandor Clegane,Neg,-0.15555555555555559,0.2888888888888889,05/11/2019 22:00:27,voxdotcom think she going to come flying down on her remaining dragon to scorch cersei lannister butt and th http co zk5eb9sf0z
"A favorite blog post from FIVE years ago!I miss all the comments that Blogger deleted, but success is being made on… https://t.co/2rXBNDe4eV",05/11/2019,Sandor Clegane,Pos,0.4,0.5,05/11/2019 21:58:59,a favorite blog post from five year ago miss all the comment that blogger deleted but success is being made on http co 2rxbnde4ev
"@KanePerezHunt @Sansa_Loves_Me @ThronesUpdate I agree, but Cersei is the reason why Arya is going there even if she… https://t.co/9r9KISmp56",05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 21:57:54,kaneperezhunt sansa_loves_me thronesupdate agree but cersei is the reason why arya is going there even if she http co 9r9kismp56
RT @kimrrenfro: What is hype may never die #Clegane #bowl https://t.co/Mgb9bknwcB,05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 21:56:30,rt kimrrenfro what is hype may never die clegane bowl http co mgb9bknwcb
"@wallace14_rach Lol idk, there's so many damn choices. Think the hound and the mountain go for sure. I felt like th… https://t.co/tEF21sQ89e",05/11/2019,Sandor Clegane,Pos,0.6,0.6962962962962962,05/11/2019 21:56:17,wallace14_rach lol idk there so many damn choice think the hound and the mountain go for sure felt like th http co tef21sq89e
"RT @CallMeNuwanda_: Cersei Lannister 
Bran Stark
Tyrion Lannister 
Arya stark
The Hound https://t.co/L7Gh1EyKZ3",05/11/2019,Sandor Clegane,Neg,-0.2,0.6,05/11/2019 21:54:30,rt callmenuwanda_ cersei lannister bran stark tyrion lannister arya stark the hound http co l7gh1eykz3
"GoT theories for the remainder of the season:
-Cersei dies by the hands of Jaime
-Greyworm lives✈️beaches of Naath… https://t.co/eMzv15awvI",05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 21:54:21,got theory for the remainder of the season cersei dy by the hand of jaime greyworm life beach of naath http co emzv15awvi
@JamieKnowsNada Would you take him over Brienne? I think he Might take the Hound..Might,05/11/2019,Sandor Clegane,Neu,0.0,0.0,05/11/2019 21:54:09,jamieknowsnada would you take him over brienne think he might take the hound might
im so excited abt her and the hound arriving at kings landing like.....the hound is obviously going for the mountai… https://t.co/tr2PoVMyKZ,05/11/2019,Sandor Clegane,Pos,0.1875,0.625,05/11/2019 21:53:43,im so excited abt her and the hound arriving at king landing like the hound is obviously going for the mountai http co tr2povmykz
